0.01	788.549
0.01	773.956
0.02	801.106
0.09	782.262
0.09	781.072
0.12	782.11
0.13	793.364
0.13	790.11
0.15	785.394
0.15	775.367
0.18	765.126
0.19	784.812
0.19	770.824
0.25	762.681
0.26	774.933
0.26	755.867
0.34	783.186
0.34	772.716
0.36	767.443
0.36	769.38
0.37	779.615
0.41	773.243
0.44	765.555
0.52	754.867
0.53	756.904
0.58	756.071
0.58	750.309
0.59	766.868
0.61	751.076
0.62	743.707
0.66	765.411
0.73	745.952
0.74	739.397
0.74	735.528
0.74	739.234
0.75	728.975
0.79	734.41
0.8	725.073
0.8	736.497
0.83	748.472
0.84	726.978
0.92	718.753
0.92	734.235
0.93	752.67
0.96	710.761
0.96	726.638
0.97	722.079
0.97	735.501
0.99	726.855
1.03	702.107
1.03	734.664
1.06	726.605
1.07	732.031
1.1	731.759
1.11	702.748
1.18	713.067
1.19	706.552
1.21	710.973
1.23	705.923
1.27	708.831
1.28	723.404
1.3	708.178
1.3	715.159
1.31	700.89
1.32	707.439
1.36	706.675
1.37	720.951
1.38	708.185
1.39	710.127
1.4	682.239
1.41	714.269
1.44	691.192
1.44	684.773
1.45	712.967
1.46	691.831
1.46	691.785
1.47	682.641
1.5	672.551
1.51	689.95
1.51	686.41
1.53	668.29
1.55	692.274
1.57	677.044
1.59	681.695
1.62	673.834
1.63	660.478
1.69	679.101
1.76	667.826
1.8	664.919
1.87	667.927
1.89	651.843
1.89	659.035
1.89	667.568
1.9	666.682
1.9	653.439
1.91	656.253
1.95	666.65
1.96	665.187
1.96	670.053
1.99	671.309
